date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:48	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:42%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.woff	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
11:52:49	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:42%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.ttf	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
11:52:50	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:43%20GMT	https://demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/fonts/glyphicons-halflings-regular.svg	(from https://demo.zytheme.com/lalan/assets/css/bootstrap.min.css)
11:52:50	957/957	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2013%20Nov%202019%2006:22:44%20GMT	https://demo.zytheme.com/lalan/assets/css/polina.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/css/polina.jpg	(from https://demo.zytheme.com/lalan/assets/css/style.css)
11:52:51	125/125	---M--	200	added ('OK')	image/png	etag:%226603ad-7d-595f50cbbc889%22	https://demo.zytheme.com/lalan/assets/images/features/icons/divider.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/features/icons/divider.png	(from https://demo.zytheme.com/lalan/assets/css/style.css)
11:52:51	3755/3755	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-eab%22	https://demo.zytheme.com/lalan/assets/js/plugins/jquery.gmap.min.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/plugins/jquery.gmap.min.js	(from https://demo.zytheme.com/lalan/home-map.html)
11:52:51	3058/3058	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-bf2%22	https://demo.zytheme.com/lalan/assets/js/map-addresses.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/map-addresses.js	(from https://demo.zytheme.com/lalan/home-map.html)
11:52:52	2139/2139	---MCZ	200	added ('OK')	text/javascript	etag:W/%225db6b385-85b%22	https://demo.zytheme.com/lalan/assets/js/map-custom.js	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/js/map-custom.js	(from https://demo.zytheme.com/lalan/home-map.html)
11:52:52	770479/770479	---M--	200	added ('OK')	image/jpeg	etag:%225db6b385-bc1af%22	https://demo.zytheme.com/lalan/assets/images/slider/slide-bg/4.jpg	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/slider/slide-bg/4.jpg	(from https://demo.zytheme.com/lalan/home-property.html)
11:52:52	150436/150436	---M--	200	added ('OK')	image/png	etag:%225db6b384-24ba4%22	https://demo.zytheme.com/lalan/assets/images/agents/grid/4.png	C:/Users/anil.godhani/Desktop/HTTrack%20Websites/PropertyListing/Lalan/demo.zytheme.com/lalan/assets/images/agents/grid/4.png	(from https://demo.zytheme.com/lalan/agents.html)
